,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,species_id
165,Chinstrap,Dream,52,18.1,201,4050,MALE,2
166,Chinstrap,Dream,45.9,17.1,190,3575,FEMALE,2
167,Chinstrap,Dream,50.5,19.6,201,4050,MALE,2
168,Chinstrap,Dream,50.3,20,197,3300,MALE,2
169,Chinstrap,Dream,58,17.8,181,3700,FEMALE,2
170,Chinstrap,Dream,46.4,18.6,190,3450,FEMALE,2
171,Chinstrap,Dream,49.2,18.2,195,4400,MALE,2
172,Chinstrap,Dream,42.4,17.3,181,3600,FEMALE,2
173,Chinstrap,Dream,48.5,17.5,191,3400,MALE,2
174,Chinstrap,Dream,43.2,16.6,187,2900,FEMALE,2
175,Chinstrap,Dream,50.6,19.4,193,3800,MALE,2
176,Chinstrap,Dream,46.7,17.9,195,3300,FEMALE,2
177,Chinstrap,Dream,52,19,197,4150,MALE,2
178,Chinstrap,Dream,50.5,18.4,200,3400,FEMALE,2
179,Chinstrap,Dream,49.5,19,200,3800,MALE,2
180,Chinstrap,Dream,46.4,17.8,191,3700,FEMALE,2
181,Chinstrap,Dream,52.8,20,205,4550,MALE,2
182,Chinstrap,Dream,40.9,16.6,187,3200,FEMALE,2
183,Chinstrap,Dream,54.2,20.8,201,4300,MALE,2
184,Chinstrap,Dream,42.5,16.7,187,3350,FEMALE,2
185,Chinstrap,Dream,51,18.8,203,4100,MALE,2
186,Chinstrap,Dream,49.7,18.6,195,3600,MALE,2
187,Chinstrap,Dream,47.5,16.8,199,3900,FEMALE,2
188,Chinstrap,Dream,47.6,18.3,195,3850,FEMALE,2
189,Chinstrap,Dream,52,20.7,210,4800,MALE,2
190,Chinstrap,Dream,46.9,16.6,192,2700,FEMALE,2
191,Chinstrap,Dream,53.5,19.9,205,4500,MALE,2
192,Chinstrap,Dream,49,19.5,210,3950,MALE,2
193,Chinstrap,Dream,46.2,17.5,187,3650,FEMALE,2
194,Chinstrap,Dream,50.9,19.1,196,3550,MALE,2
195,Chinstrap,Dream,45.5,17,196,3500,FEMALE,2
196,Chinstrap,Dream,50.9,17.9,196,3675,FEMALE,2
197,Chinstrap,Dream,50.8,18.5,201,4450,MALE,2
198,Chinstrap,Dream,50.1,17.9,190,3400,FEMALE,2
199,Chinstrap,Dream,49,19.6,212,4300,MALE,2
200,Chinstrap,Dream,51.5,18.7,187,3250,MALE,2
201,Chinstrap,Dream,49.8,17.3,198,3675,FEMALE,2
202,Chinstrap,Dream,48.1,16.4,199,3325,FEMALE,2
203,Chinstrap,Dream,51.4,19,201,3950,MALE,2
204,Chinstrap,Dream,45.7,17.3,193,3600,FEMALE,2
205,Chinstrap,Dream,50.7,19.7,203,4050,MALE,2
206,Chinstrap,Dream,42.5,17.3,187,3350,FEMALE,2
207,Chinstrap,Dream,52.2,18.8,197,3450,MALE,2
208,Chinstrap,Dream,45.2,16.6,191,3250,FEMALE,2
209,Chinstrap,Dream,49.3,19.9,203,4050,MALE,2
210,Chinstrap,Dream,50.2,18.8,202,3800,MALE,2
211,Chinstrap,Dream,45.6,19.4,194,3525,FEMALE,2
212,Chinstrap,Dream,51.9,19.5,206,3950,MALE,2
213,Chinstrap,Dream,46.8,16.5,189,3650,FEMALE,2
214,Chinstrap,Dream,45.7,17,195,3650,FEMALE,2
215,Chinstrap,Dream,55.8,19.8,207,4000,MALE,2
216,Chinstrap,Dream,43.5,18.1,202,3400,FEMALE,2
217,Chinstrap,Dream,49.6,18.2,193,3775,MALE,2
218,Chinstrap,Dream,50.8,19,210,4100,MALE,2
219,Chinstrap,Dream,50.2,18.7,198,3775,FEMALE,2
220,Gentoo,Biscoe,46.1,13.2,211,4500,FEMALE,3
221,Gentoo,Biscoe,50,16.3,230,5700,MALE,3
222,Gentoo,Biscoe,48.7,14.1,210,4450,FEMALE,3
223,Gentoo,Biscoe,50,15.2,218,5700,MALE,3
224,Gentoo,Biscoe,47.6,14.5,215,5400,MALE,3
225,Gentoo,Biscoe,46.5,13.5,210,4550,FEMALE,3
226,Gentoo,Biscoe,45.4,14.6,211,4800,FEMALE,3
227,Gentoo,Biscoe,46.7,15.3,219,5200,MALE,3
228,Gentoo,Biscoe,43.3,13.4,209,4400,FEMALE,3
229,Gentoo,Biscoe,46.8,15.4,215,5150,MALE,3
230,Gentoo,Biscoe,40.9,13.7,214,4650,FEMALE,3
231,Gentoo,Biscoe,49,16.1,216,5550,MALE,3
232,Gentoo,Biscoe,45.5,13.7,214,4650,FEMALE,3
233,Gentoo,Biscoe,48.4,14.6,213,5850,MALE,3
234,Gentoo,Biscoe,45.8,14.6,210,4200,FEMALE,3
235,Gentoo,Biscoe,49.3,15.7,217,5850,MALE,3
236,Gentoo,Biscoe,42,13.5,210,4150,FEMALE,3
237,Gentoo,Biscoe,49.2,15.2,221,6300,MALE,3
238,Gentoo,Biscoe,46.2,14.5,209,4800,FEMALE,3
239,Gentoo,Biscoe,48.7,15.1,222,5350,MALE,3
240,Gentoo,Biscoe,50.2,14.3,218,5700,MALE,3
241,Gentoo,Biscoe,45.1,14.5,215,5000,FEMALE,3
242,Gentoo,Biscoe,46.5,14.5,213,4400,FEMALE,3
243,Gentoo,Biscoe,46.3,15.8,215,5050,MALE,3
244,Gentoo,Biscoe,42.9,13.1,215,5000,FEMALE,3
245,Gentoo,Biscoe,46.1,15.1,215,5100,MALE,3
247,Gentoo,Biscoe,47.8,15,215,5650,MALE,3
248,Gentoo,Biscoe,48.2,14.3,210,4600,FEMALE,3
249,Gentoo,Biscoe,50,15.3,220,5550,MALE,3
250,Gentoo,Biscoe,47.3,15.3,222,5250,MALE,3
251,Gentoo,Biscoe,42.8,14.2,209,4700,FEMALE,3
252,Gentoo,Biscoe,45.1,14.5,207,5050,FEMALE,3
253,Gentoo,Biscoe,59.6,17,230,6050,MALE,3
254,Gentoo,Biscoe,49.1,14.8,220,5150,FEMALE,3
255,Gentoo,Biscoe,48.4,16.3,220,5400,MALE,3
256,Gentoo,Biscoe,42.6,13.7,213,4950,FEMALE,3
257,Gentoo,Biscoe,44.4,17.3,219,5250,MALE,3
258,Gentoo,Biscoe,44,13.6,208,4350,FEMALE,3
259,Gentoo,Biscoe,48.7,15.7,208,5350,MALE,3
260,Gentoo,Biscoe,42.7,13.7,208,3950,FEMALE,3
261,Gentoo,Biscoe,49.6,16,225,5700,MALE,3
262,Gentoo,Biscoe,45.3,13.7,210,4300,FEMALE,3
263,Gentoo,Biscoe,49.6,15,216,4750,MALE,3
264,Gentoo,Biscoe,50.5,15.9,222,5550,MALE,3
265,Gentoo,Biscoe,43.6,13.9,217,4900,FEMALE,3
266,Gentoo,Biscoe,45.5,13.9,210,4200,FEMALE,3
267,Gentoo,Biscoe,50.5,15.9,225,5400,MALE,3
268,Gentoo,Biscoe,44.9,13.3,213,5100,FEMALE,3
269,Gentoo,Biscoe,45.2,15.8,215,5300,MALE,3
270,Gentoo,Biscoe,46.6,14.2,210,4850,FEMALE,3
271,Gentoo,Biscoe,48.5,14.1,220,5300,MALE,3
272,Gentoo,Biscoe,45.1,14.4,210,4400,FEMALE,3
273,Gentoo,Biscoe,50.1,15,225,5000,MALE,3
274,Gentoo,Biscoe,46.5,14.4,217,4900,FEMALE,3
275,Gentoo,Biscoe,45,15.4,220,5050,MALE,3
276,Gentoo,Biscoe,43.8,13.9,208,4300,FEMALE,3
277,Gentoo,Biscoe,45.5,15,220,5000,MALE,3
278,Gentoo,Biscoe,43.2,14.5,208,4450,FEMALE,3
279,Gentoo,Biscoe,50.4,15.3,224,5550,MALE,3
280,Gentoo,Biscoe,45.3,13.8,208,4200,FEMALE,3
281,Gentoo,Biscoe,46.2,14.9,221,5300,MALE,3
282,Gentoo,Biscoe,45.7,13.9,214,4400,FEMALE,3
283,Gentoo,Biscoe,54.3,15.7,231,5650,MALE,3
284,Gentoo,Biscoe,45.8,14.2,219,4700,FEMALE,3
285,Gentoo,Biscoe,49.8,16.8,230,5700,MALE,3
287,Gentoo,Biscoe,49.5,16.2,229,5800,MALE,3
288,Gentoo,Biscoe,43.5,14.2,220,4700,FEMALE,3
289,Gentoo,Biscoe,50.7,15,223,5550,MALE,3
290,Gentoo,Biscoe,47.7,15,216,4750,FEMALE,3
291,Gentoo,Biscoe,46.4,15.6,221,5000,MALE,3
292,Gentoo,Biscoe,48.2,15.6,221,5100,MALE,3
293,Gentoo,Biscoe,46.5,14.8,217,5200,FEMALE,3
294,Gentoo,Biscoe,46.4,15,216,4700,FEMALE,3
295,Gentoo,Biscoe,48.6,16,230,5800,MALE,3
296,Gentoo,Biscoe,47.5,14.2,209,4600,FEMALE,3
297,Gentoo,Biscoe,51.1,16.3,220,6000,MALE,3
298,Gentoo,Biscoe,45.2,13.8,215,4750,FEMALE,3
299,Gentoo,Biscoe,45.2,16.4,223,5950,MALE,3
300,Gentoo,Biscoe,49.1,14.5,212,4625,FEMALE,3
301,Gentoo,Biscoe,52.5,15.6,221,5450,MALE,3
302,Gentoo,Biscoe,47.4,14.6,212,4725,FEMALE,3
303,Gentoo,Biscoe,50,15.9,224,5350,MALE,3
304,Gentoo,Biscoe,44.9,13.8,212,4750,FEMALE,3
305,Gentoo,Biscoe,50.8,17.3,228,5600,MALE,3
306,Gentoo,Biscoe,43.4,14.4,218,4600,FEMALE,3
307,Gentoo,Biscoe,51.3,14.2,218,5300,MALE,3
308,Gentoo,Biscoe,47.5,14,212,4875,FEMALE,3
309,Gentoo,Biscoe,52.1,17,230,5550,MALE,3
310,Gentoo,Biscoe,47.5,15,218,4950,FEMALE,3
311,Gentoo,Biscoe,52.2,17.1,228,5400,MALE,3
312,Gentoo,Biscoe,45.5,14.5,212,4750,FEMALE,3
313,Gentoo,Biscoe,49.5,16.1,224,5650,MALE,3
314,Gentoo,Biscoe,44.5,14.7,214,4850,FEMALE,3
315,Gentoo,Biscoe,50.8,15.7,226,5200,MALE,3
316,Gentoo,Biscoe,49.4,15.8,216,4925,MALE,3
317,Gentoo,Biscoe,46.9,14.6,222,4875,FEMALE,3
318,Gentoo,Biscoe,48.4,14.4,203,4625,FEMALE,3
319,Gentoo,Biscoe,51.1,16.5,225,5250,MALE,3
320,Gentoo,Biscoe,48.5,15,219,4850,FEMALE,3
321,Gentoo,Biscoe,55.9,17,228,5600,MALE,3
322,Gentoo,Biscoe,47.2,15.5,215,4975,FEMALE,3
323,Gentoo,Biscoe,49.1,15,228,5500,MALE,3
325,Gentoo,Biscoe,46.8,16.1,215,5500,MALE,3
326,Gentoo,Biscoe,41.7,14.7,210,4700,FEMALE,3
327,Gentoo,Biscoe,53.4,15.8,219,5500,MALE,3
328,Gentoo,Biscoe,43.3,14,208,4575,FEMALE,3
329,Gentoo,Biscoe,48.1,15.1,209,5500,MALE,3
330,Gentoo,Biscoe,50.5,15.2,216,5000,FEMALE,3
331,Gentoo,Biscoe,49.8,15.9,229,5950,MALE,3
332,Gentoo,Biscoe,43.5,15.2,213,4650,FEMALE,3
333,Gentoo,Biscoe,51.5,16.3,230,5500,MALE,3
334,Gentoo,Biscoe,46.2,14.1,217,4375,FEMALE,3
335,Gentoo,Biscoe,55.1,16,230,5850,MALE,3
337,Gentoo,Biscoe,48.8,16.2,222,6000,MALE,3
338,Gentoo,Biscoe,47.2,13.7,214,4925,FEMALE,3
340,Gentoo,Biscoe,46.8,14.3,215,4850,FEMALE,3
341,Gentoo,Biscoe,50.4,15.7,222,5750,MALE,3
342,Gentoo,Biscoe,45.2,14.8,212,5200,FEMALE,3
343,Gentoo,Biscoe,49.9,16.1,213,5400,MALE,3
